00795799TROSGNISTAN MISSION              IS TD01N140108                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140108                                                        
40                  10057760000000020000       1000000000063049675              
40                  10140750000000020000       1000000000034141681              
40                  10181750000000020000       1000000000064079648              
40                  10295780000000020000       1000000000034230937              
40                  10871700000000020000       1004452863668192044              
40                  10926750000000020000       1000856181368075518              
40                  10968740000000020000       1004452863668194810              
40                  10973770000000020000       1000000000035142781              
40                  10975750000000040000       1000856181368075519              
40                  11016740000000040000       1000000000064161027              
40                  11016740000000040000       1000000000064161028              
40                  11016740000000040000       1000000000064161029              
40                  11016740000000040000       1000000000064161030              
40                  11154760000000040000       1004445245634102768              
40                  11701740000000020000       1000000000035283029              
40                  11713700000000040000       1000000000034236563              
40                  11824760000000140000       1000000000064153118              
40                  12122730000000010000       1000000000034215225              
40                  12217790000000017500       1004452863668184118              
40                  12218780000000040000       1000805708568049186              
40                  12225790000000020000       1000000000035119024              
40                  12292770000000020000       1000000000035521493              
40                  12496710000000020000       1000000000064164939              
40                  12592740000000035000       1000000000034141793              
40                  12592740000000035000       1000000000034141794              
40                  12592740000000035000       1000000000034141795              
40                  12825730000000120000       1001124909168165088              
40                  12914750000000020000       1000000000064050131              
40                  12999730000000020000       1000000000064079649              
40                  13388700000000030000       1000000000035174401              
40                  13550720000000037500       1000000000064079641              
40                  13589770000000020000       1000000000064152163              
40                  13856730000000010000       1000000000034290438              
40                  13900790000000060000       1000000000064021996              
40                  13980720000000020000       1000000000035223490              
40                  13986760000000020000       1000000000034111258              
40                  14365750000000120000       1001124909168165087              
40                  14481740000000020000       1000856181368075517              
40                  14835770000000010000       1000000000035275059              
40                  14956700000000020000       1000000000064165147              
40                  15401780000000020000       1000000000063059774              
40                  15401780000000020000       1000000000063059778              
40                  15939790000000020000       1000000000034287747              
40                  16580790000000080000       1000000000034216764              
40                  16697790000000020000       1000000000064131444              
40                  16945790000000020000       1000000000034168123              
40                  16963760000000020000       1000000000035146649              
40                  16963760000000020000       1000000000035146650              
40                  16963760000000020000       1000000000035146651              
40                  17126780000000020000       1000805708568028989              
40                  17242770000000020000       1000000000063059799              
40                  17304720000000002500       1000000000063017331              
40                  17455790000000030000       1000000000063021178              
40                  17516760000000005000       1000000000064168512              
40                  17529710000000010000       1000000000035162838              
40                  17902780000000120000       1000805708568005409              
40                  18055710000000020000       1000000000035527958              
40                  18162710000000040000       1000000000063081090              
40                  18163700000000020000       1001066943068138670              
40                  18586790000000020000       1001066943068138671              
40                  18593700000000020000       1001066943068138673              
40                  18674720000000040000       1000000000063044814              
40                  18763740000000020000       1001066943068138672              
40                  18894760000000020000       1000000000035221753              
50795799   90073781401080000064000000002007500                                  
90795799          1401080000064000000002007500                                  
