00795799TROSGNISTAN MISSION              IS TD01N140729                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140729                                                        
40                  10977730000000030000
40                  17358770000000020000
40                  13506770000000020000
40                  10097780000000020000
40                  13293740000000020000
40                  18409740000000020000
40                  12494730000000020000
40                  18252720000000050000
40                  11776740000000020000
40                  11126710000000040000
40                  14055700000000010000
40                  10418700000000020000
40                  10118730000000030000
40                  11624780000000075000
40                  15116740000000020000
40                  12108710000000065000
40                  12478730000000050000
40                  11710730000000020000
40                  15560750000000020000
40                  12857740000000020000
40                  19514740000000010000
40                  11942730000000020000
40                  18191760000000030000
40                  10156760000000020000
40                  11266710000000020000
40                  11140730000000010000
40                  17441760000000020000
40                  17793700000000040000
40                  15469770000000005000
40                  16860700000000020000
40                  14226740000000020000
40                  18655750000000020000
40                  17961760000000020000
40                  14406760000000020000
40                  18272780000000040000
40                  10728750000000040000
40                  14088710000000020000
40                  18940700000000020000
40                  18255790000000060000
40                  11970780000000070000
40                  11533780000000025000
40                  14220700000000040000
40                  14682710000000020000
40                  18421780000000020000
40                  17475750000000020000
40                  11410760000000020000
40                  10182740000000005000
40                  10953710000000060000
40                  10336790000000020000
40                  17391760000000020000
40                  11977710000000020000
40                  13709720000000020000
40                  13794780000000020000
40                  18363780000000020000
40                  14554760000000020000
40                  13360720000000020000
40                  10177710000000020000
40                  14664730000000020000
40                  14413770000000065000
40                  10236700000000020000
40                  11543760000000040000
40                  18503790000000020000
40                  17214710000000045000
40                  13592720000000020000
40                  13592720000000157500
40                  15717770000000060000
40                  11504730000000020000
40                  17332780000000052500
40                  10774780000000020000
40                  18612770000000020000
40                  14481740000000020000
40                  11670710000000020000
40                  14068750000000020000
40                  15023760000000020000
40                  16181720000000030000
40                  10975750000000040000
40                  10379770000000020000
40                  16188750000000040000
40                  12017710000000050000
40                  13732730000000020000
40                  12063740000000020000
40                  13201750000000080000
40                  10460770000000020000
40                  10697720000000020000
40                  13208780000000027500
40                  12889760000000020000
40                  10442700000000040000
40                  14577790000000020000
40                  13013730000000020000
40                  18456760000000020000
40                  13229730000000040000
40                  10535780000000030000
40                  15482700000000020000
40                  10235710000000020000
40                  11969710000000020000
40                  10061700000000020000
40                  10532710000000020000
40                  16548700000000040000
40                  15548720000000020000
40                  13391750000000060000
40                  10665700000000020000
40                  12804780000000020000
40                  12245750000000020000
40                  13912750000000060000
40                  10722710000000060000
40                  11232720000000020000
40                  13699740000000020000
40                  18159760000000020000
40                  14179710000000030000
40                  16215720000000020000
40                  13540750000000100000
40                  11378760000000010000
40                  14211710000000040000
