00795799TROSGNISTAN MISSION              IS TD01N140818                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  11178780000000020000
40                  19673710000000010000
40                  13702790000000020000
40                  15283710000000020000
40                  11410760000000020000
40                  12833730000000240000
40                  12501740000000020000
40                  14409730000000020000
40                  10700770000000020000
40                  12131720000000020000
40                  10739720000000060000
40                  13784700000000040000
40                  12214720000000060000
40                  18586790000000020000
40                  18163700000000020000
40                  18593700000000020000
40                  18763740000000020000
40                  11595730000000020000
40                  14004720000000020000
40                  10830700000000025000
40                  10347760000000040000
40                  11154760000000040000
40                  13736790000000020000
40                  16777720000000120000
40                  16848770000000020000
40                  11486750000000040000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
