00795799TROSGNISTAN MISSION              IS TD01N140901                        
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  17218770000000020000
40                  11920790000000020000
40                  13622760000000020000
40                  15238770000000040000
40                  13014720000000055000
40                  14361790000000020000
40                  11966740000000010000
40                  18256780000000020000
40                  14235730000000020000
40                  11907760000000020000
40                  15780790000000135000
40                  10537760000000020000
40                  10906790000000020000
40                  11364720000000020000
40                  14245710000000020000
40                  15086700000000030000
40                  13146730000000020000
40                  12293760000000020000
40                  16160770000000075000
40                  14644780000000020000
40                  10321760000000020000
40                  10485780000000040000
40                  13223790000000030000
40                  12478730000000050000
40                  13665740000000020000
40                  11431710000000040000
40                  14966780000000040000
40                  10662730000000020000
40                  18191760000000030000
40                  11555710000000040000
40                  11507700000000020000
40                  14574720000000020000
40                  12175790000000125000
40                  12267780000000020000
40                  10006780000000070000
40                  16860700000000020000
40                  10084730000000020000
40                  11512730000000020000
40                  13717720000000005000
40                  10683780000000040000
40                  11937700000000020000
40                  18607740000000020000
40                  13038740000000020000
40                  12459760000000040000
40                  15104780000000020000
40                  13924710000000040000
40                  10728750000000040000
40                  12413710000000020000
40                  18255790000000090000
40                  17461710000000040000
40                  10963790000000050000
40                  11412740000000037500
40                  18475730000000030000
40                  11970780000000070000
40                  14459720000000020000
40                  11533780000000025000
40                  11295760000000060000
40                  12038760000000020000
40                  15121770000000030000
40                  10469780000000020000
40                  11868730000000020000
40                  13683720000000040000
40                  11010700000000020000
40                  11374700000000020000
40                  18964710000000050000
40                  10237790000000020000
40                  13754760000000020000
40                  14856710000000020000
40                  11977710000000020000
40                  17447700000000020000
40                  11853700000000012500
40                  12990720000000020000
40                  12433770000000010000
40                  12080730000000020000
40                  11614700000000040000
40                  14431750000000040000
40                  14490730000000020000
40                  17452720000000040000
40                  14130790000000010000
40                  16955760000000020000
40                  12930750000000020000
40                  15347750000000030000
40                  10521740000000040000
40                  14760760000000110000
40                  10761730000000020000
40                  17606770000000020000
40                  10592780000000010000
40                  14664730000000020000
40                  16892720000000020000
40                  11543760000000040000
40                  18503790000000020000
40                  16954770000000009000
40                  17214710000000045000
40                  13164700000000035000
40                  13719700000000030000
40                  18253710000000020000
40                  17592730000000020000
40                  12733740000000020000
40                  10917760000000020000
40                  10377790000000020000
40                  13830740000000040000
40                  13245730000000020000
40                  18049700000000020000
40                  14570760000000020000
40                  14915700000000020000
40                  16901710000000020000
40                  13693700000000040000
40                  10064770000000360000
40                  14383730000000020000
40                  12237750000000010000
40                  10014780000000020000
40                  14481740000000020000
40                  10828740000000020000
40                  18303710000000020000
40                  10396760000000020000
40                  11241710000000020000
40                  10383710000000020000
40                  11169790000000020000
40                  15023760000000020000
40                  18795760000000020000
40                  13909700000000035000
40                  13288710000000040000
40                  10989790000000060000
40                  10308730000000060000
40                  13157790000000020000
40                  12017710000000050000
40                  12173710000000010000
40                  10328790000000020000
40                  12124710000000020000
40                  10369790000000020000
40                  13715740000000090000
40                  13514770000000020000
40                  10218720000000020000
40                  10535780000000030000
40                  11281720000000020000
40                  12144770000000020000
40                  17971740000000060000
40                  17969780000000060000
40                  17556770000000005000
40                  11470730000000040000
40                  11860710000000020000
40                  19558710000000020000
40                  10372740000000020000
40                  10505740000000020000
40                  18843780000000080000
40                  10665700000000020000
40                  12892710000000020000
40                  11294770000000020000
40                  11870790000000030000
40                  16460740000000025000
40                  15203780000000020000
40                  13266770000000022500
40                  16174710000000020000
40                  17782730000000020000
40                  17782730000000020000
40                  12247730000000020000
40                  10027730000000010000
40                  12922750000000052500
40                  10181750000000020000
40                  12999730000000020000
40                  13550720000000037500
40                  16783740000000020000
40                  18270700000000045000
40                  15652740000000040000
40                  16660720000000005000
40                  11889780000000040000
40                  16256720000000005000
40                  18225760000000020000
40                  15364730000000020000
40                  12356700000000005000
40                  12235770000000040000
40                  12625750000000020000
40                  11704710000000020000
40                  15018730000000060000
40                  10688730000000020000
40                  13242760000000020000
40                  10638740000000005000
40                  13094750000000020000
40                  14564740000000050000
40                  13171710000000020000
40                  13569710000000020000
40                  10483700000000020000
40                  16111770000000032500
40                  14762740000000042500
40                  12560720000000020000
40                  12036780000000020000
40                  11711720000000220000
40                  16289730000000010000
40                  16363720000000020000
40                  17576730000000040000
40                  11420740000000020000
40                  16580790000000080000
40                  18189700000000060000
40                  12799750000000020000
40                  11701740000000020000
40                  14147700000000020000
40                  13856730000000010000
40                  13704770000000020000
40                  10471740000000007500
40                  12483760000000017500
40                  10320770000000020000
40                  17611700000000020000
40                  12183790000000020000
40                  14336710000000020000
40                  13371790000000040000
40                  14875780000000020000
40                  15262760000000060000
40                  15261770000000130000
40                  18352710000000040000
40                  13325760000000020000
40                  13220720000000020000
40                  16873750000000025000
40                  11087780000000020000
40                  11064750000000040000
40                  11994700000000040000
40                  12573770000000020000
40                  11395750000000020000
40                  18786770000000020000
40                  10130770000000020000
40                  13520790000000020000
40                  10007770000000020000
40                  11645730000000005000
40                  13670770000000040000
40                  18960750000000020000
40                  13359750000000020000
40                  12918710000000020000
40                  17010770000000020000
40                  14435710000000040000
40                  10965770000000030000
40                  13590740000000110000
40                  13200760000000020000
40                  12234780000000020000
40                  12228760000000030000
40                  13104730000000020000
40                  15327790000000020000
40                  15401780000000020000
40                  12901700000000020000
40                  15655710000000020000
40                  11189750000000120000
40                  14122790000000020000
40                  15255750000000020000
40                  11969710000000020000
40                  15482700000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
