00795799TROSGNISTAN MISSION              IS TD01N140925                    
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  14313780000000010000
40                  12232700000000040000
40                  11141720000000020000
40                  13255700000000020000
40                  18054720000000010000
40                  12162740000000020000
40                  15515710000000020000
40                  12776720000000020000
40                  10437770000000010000
40                  18942780000000050000
40                  19673710000000010000
40                  12453720000000015000
40                  15675770000000040000
40                  12343760000000020000
40                  13315780000000040000
40                  11710730000000020000
40                  13617730000000020000
40                  10409710000000020000
40                  12501740000000020000
40                  11618760000000020000
40                  16816750000000025000
40                  12500750000000030000
40                  11276790000000040000
40                  11257720000000020000
40                  18825700000000010000
40                  14109760000000020000
40                  10277700000000100000
40                  15153780000000040000
40                  11452750000000020000
40                  14622740000000020000
40                  10665700000000020000
40                  15137790000000020000
40                  18095730000000020000
40                  10754720000000020000
40                  18188710000000020000
40                  18188710000000020000
40                  13302730000000022500
40                  10633790000000030000
40                  10536770000000100000
40                  11690770000000020000
40                  17794790000000060000
40                  10589730000000010000
40                  11064750000000040000
40                  10111700000000040000
40                  18894760000000020000
40                  10295780000000020000
40                  12740750000000040000
40                  14763730000000040000
40                  12588700000000020000
40                  15274720000000025000
40                  12275780000000025000
40                  11809750000000020000
40                  13943780000000025000
40                  11494750000000020000
40                  12186760000000020000
40                  18049700000000020000
40                  18876780000000025000
40                  10636760000000030000
40                  14377710000000017500
40                  18371780000000015000
40                  12184780000000030000
40                  17428730000000020000
40                  14674710000000060000
40                  14678770000000040000
40                  10871700000000030000
40                  12215710000000020000
40                  18136740000000040000
40                  12051780000000020000
40                  18022710000000020000
40                  10713720000000020000
40                  11134710000000020000
40                  12171730000000030000
40                  17021740000000200000
40                  10746730000000010000
40                  13168760000000060000
40                  14680730000000020000
40                  13705760000000030000
40                  14117760000000020000
40                  14402700000000015000
40                  12767730000000030000
40                  10105780000000030000
40                  10659780000000020000
40                  10622720000000020000
40                  14537780000000050000
40                  10969730000000060000
40                  17855750000000020000
40                  11036700000000010000
40                  12000700000000020000
40                  14908790000000080000
40                  15364730000000020000
40                  11946790000000015000
40                  17613780000000020000
40                  11478750000000020000
40                  11988780000000020000
40                  11573790000000010000
40                  12682750000000020000
40                  13905740000000170000
40                  10066750000000020000
40                  10638740000000005000
40                  16973740000000009000
40                  17109790000000040000
40                  12954760000000020000
40                  14004720000000020000
40                  13567730000000020000
40                  12880750000000060000
40                  13402720000000010000
40                  12384760000000020000
40                  10059740000000010000
40                  15031760000000050000
40                  14203710000000020000
40                  11186780000000010000
40                  11944710000000020000
40                  11328770000000010000
40                  11420740000000020000
40                  12336750000000020000
40                  18556750000000030000
40                  12683740000000060000
40                  12907740000000012500
40                  11098750000000020000
40                  14103720000000020000
40                  11894710000000040000
40                  11153770000000200000
40                  13745780000000010000
40                  13652790000000020000
40                  12770780000000020000
40                  11636740000000020000
40                  15405740000000020000
40                  10365730000000050000
40                  11293780000000005000
40                  14442720000000020000
40                  13993770000000030000
40                  14568700000000010000
40                  10571730000000030000
40                  18197700000000040000
40                  14122790000000020000
40                  14142750000000060000
40                  12791730000000050000
40                  13762760000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
