00795799TROSGNISTAN MISSION              IS TD01N141006                   
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  13398780000000060000
40                  12670790000000020000
40                  10470750000000020000
40                  13385730000000020000
40                  12854770000000120000
40                  11447730000000020000
40                  15283710000000020000
40                  15121770000000030000
40                  18964710000000050000
40                  12839770000000130000
40                  13751790000000020000
40                  13845770000000020000
40                  15072760000000240000
40                  16439720000000040000
40                  18200750000000040000
40                  13480770000000010000
40                  16848770000000020000
40                  12131720000000020000
40                  13392740000000020000
40                  19651770000000040000
40                  13367750000000020000
40                  15127710000000040000
40                  11601750000000020000
40                  12222720000000020000
40                  13917700000000020000
40                  13068770000000040000
40                  14147700000000020000
40                  10557710000000010000
40                  17774730000000040000
40                  10968740000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
