00795799TROSGNISTAN MISSION              IS TD01N141029                  
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  10977730000000030000
40                  10789710000000020000
40                  12714770000000020000
40                  12915740000000020000
40                  10097780000000020000
40                  17793700000000040000
40                  12494730000000020000
40                  15516700000000020000
40                  11776740000000020000
40                  18252720000000050000
40                  10837730000000020000
40                  11634760000000060000
40                  11214740000000020000
40                  14209750000000020000
40                  13234760000000032500
40                  18399760000000020000
40                  14578780000000020000
40                  13768700000000020000
40                  12900710000000010000
40                  13555770000000065000
40                  13385730000000020000
40                  16833740000000060000
40                  11341700000000020000
40                  10006780000000070000
40                  12447710000000010000
40                  18607740000000020000
40                  18655750000000020000
40                  12308790000000020000
40                  11026720000000020000
40                  13943780000000025000
40                  17961760000000020000
40                  16817740000000020000
40                  11171750000000020000
40                  10728750000000040000
40                  12690750000000020000
40                  14220700000000040000
40                  14682710000000020000
40                  18421780000000020000
40                  10081760000000110000
40                  11410760000000020000
40                  11345760000000120000
40                  12674750000000020000
40                  19676780000000080000
40                  17474760000000055000
40                  11986700000000030000
40                  15661730000000020000
40                  18184750000000060000
40                  14431750000000040000
40                  10743760000000020000
40                  16981740000000020000
40                  14042760000000120000
40                  13751790000000020000
40                  18847740000000020000
40                  14377710000000020000
40                  12626740000000040000
40                  17022730000000020000
40                  10044720000000020000
40                  12733740000000020000
40                  17480780000000020000
40                  11062770000000020000
40                  16875730000000020000
40                  18612770000000020000
40                  13537700000000020000
40                  17583740000000020000
40                  10396760000000020000
40                  13818700000000020000
40                  14539760000000025000
40                  12500750000000030000
40                  13288710000000040000
40                  10379770000000020000
40                  16188750000000040000
40                  14476710000000020000
40                  15586750000000020000
40                  12084790000000020000
40                  12392760000000020000
40                  13732730000000020000
40                  12606780000000020000
40                  12063740000000040000
40                  16140720000000005000
40                  12124710000000020000
40                  11029790000000025000
40                  19536780000000025000
40                  11318790000000020000
40                  17556770000000005000
40                  12851700000000020000
40                  12662790000000020000
40                  10532710000000020000
40                  10258730000000060000
40                  17957720000000020000
40                  10722710000000060000
40                  11232720000000020000
40                  10755710000000100000
40                  11167710000000020000
40                  18753760000000040000
40                  16575760000000040000
40                  11826740000000020000
40                  13699740000000020000
40                  18159760000000020000
40                  13156700000000020000
40                  17449780000000020000
40                  15259710000000100000
40                  13621770000000060000
40                  13540750000000100000
40                  15133730000000020000
40                  17794790000000060000
40                  15553740000000020000
40                  11051700000000040000
40                  11425790000000100000
40                  11968720000000010000
40                  10115760000000020000
40                  10010720000000020000
40                  10223750000000040000
40                  15321750000000060000
40                  14382740000000050000
40                  13053740000000020000
40                  15405740000000020000
40                  17741730000000010000
40                  17576730000000040000
40                  11254750000000020000
40                  11294770000000020000
40                  11988780000000020000
40                  13745780000000010000
40                  19649720000000020000
40                  11250790000000100000
40                  10673700000000020000
40                  16772770000000020000
40                  14831710000000020000
40                  13107700000000020000
40                  13266770000000022500
40                  12274790000000005000
40                  10392700000000040000
40                  10297760000000120000
40                  14153710000000020000
40                  10624700000000020000
40                  17455790000000030000
40                  13242760000000020000
40                  12223710000000045000
40                  10618780000000030000
40                  12235770000000040000
40                  10212780000000060000
40                  11200700000000070000
40                  10410780000000040000
40                  17026790000000045000
40                  19769760000000020000
40                  12770780000000020000
40                  13531760000000020000
40                  12560720000000020000
40                  11972760000000040000
40                  12726730000000020000
40                  15407720000000020000
40                  18768790000000020000
40                  10426700000000020000
40                  18556750000000030000
40                  11659760000000060000
40                  13749740000000022500
40                  10677760000000040000
40                  10991750000000055000
40                  10701760000000020000
40                  10525700000000030000
40                  13235750000000010000
40                  15053790000000020000
40                  15053790000000020000
40                  13171710000000020000
40                  18402710000000020000
40                  11076710000000010000
40                  15265730000000025000
40                  18362790000000040000
40                  15164750000000020000
40                  18669790000000040000
40                  11496730000000020000
40                  15361760000000005000
40                  14762740000000042500
40                  14505760000000020000
40                  15412750000000060000
40                  11716770000000020000
40                  17212730000000070000
40                  11312750000000040000
40                  16660720000000005000
40                  10646740000000020000
40                  14956700000000020000
40                  10634780000000055000
40                  15151700000000020000
40                  15334700000000020000
40                  10388760000000025000
40                  10736750000000020000
40                  15270760000000010000
40                  10878730000000020000
40                  10349740000000040000
40                  13143760000000010000
40                  17577720000000020000
40                  10670730000000012500
40                  12543740000000020000
40                  18702780000000040000
40                  16823760000000020000
40                  14763730000000040000
40                  13388700000000030000
40                  16727730000000010000
40                  18369720000000040000
40                  11282710000000040000
40                  11190720000000020000
40                  16668740000000020000
40                  13148710000000042500
40                  12122730000000010000
40                  16580790000000080000
40                  14226740000000020000
40                  13636700000000030000
40                  13919780000000100000
40                  16393760000000002500
40                  10521740000000040000
40                  10122770000000025000
40                  12928790000000020000
40                  13844780000000020000
40                  10259720000000020000
40                  12596700000000020000
40                  12777710000000030000
40                  10347760000000040000
40                  10359710000000080000
40                  13071720000000020000
40                  16851710000000020000
40                  15678740000000040000
40                  13169750000000020000
40                  17396710000000020000
40                  12450750000000010000
40                  10697720000000020000
40                  14154700000000080000
40                  18062720000000010000
40                  13407770000000040000
40                  12289720000000020000
40                  18914720000000025000
40                  10916770000000055000
40                  10219710000000020000
40                  11361750000000010000
40                  14177730000000020000
40                  13017790000000040000
40                  11140730000000010000
40                  17452720000000040000
40                  10653740000000020000
40                  19695750000000020000
40                  15255750000000020000
40                  11179770000000005000
40                  18201740000000020000
40                  12668730000000020000
40                  10002720000000035000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
