00795799TROSGNISTAN MISSION              IS TD01N141030                
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12113740000000020000
40                  12614780000000020000
40                  10890770000000020000
40                  11449710000000020000
40                  18883790000000040000
40                  12007730000000020000
40                  14598740000000020000
40                  12953770000000060000
40                  13522770000000020000
40                  10391710000000020000
40                  11896790000000020000
40                  17476740000000065000
40                  12286750000000040000
40                  16430710000000020000
40                  13788760000000020000
40                  15072760000000040000
40                  10734770000000020000
40                  10611750000000085000
40                  11045790000000020000
40                  16608770000000040000
40                  12720790000000020000
40                  12970760000000150000
40                  19664720000000020000
40                  10062790000000020000
40                  10918750000000020000
40                  13074790000000020000
40                  11503740000000020000
40                  14861740000000060000
40                  16841740000000020000
40                  13076770000000020000
40                  11126710000000040000
40                  12383770000000140000
40                  11313740000000120000
40                  14856710000000020000
40                  10189770000000020000
40                  11000720000000020000
40                  12293760000000020000
40                  12557770000000020000
40                  12478730000000050000
40                  14262790000000060000
40                  10663720000000060000
40                  19514740000000010000
40                  11555710000000040000
40                  19118740000000020000
40                  17063730000000070000
40                  16233700000000020000
40                  11512730000000020000
40                  12828700000000120000
40                  17307790000000020000
40                  18940700000000020000
40                  13565750000000020000
40                  17546700000000040000
40                  12358780000000020000
40                  11533780000000025000
40                  11003790000000020000
40                  11374700000000020000
40                  17171720000000060000
40                  11977710000000020000
40                  14580740000000090000
40                  13506770000000020000
40                  11001710000000040000
40                  13150760000000020000
40                  11373710000000020000
40                  14554760000000040000
40                  10012700000000020000
40                  10592780000000010000
40                  16954770000000009000
40                  11696710000000040000
40                  16147750000000020000
40                  17332780000000052500
40                  13830740000000040000
40                  12401750000000020000
40                  14571750000000020000
40                  13731740000000020000
40                  18303710000000020000
40                  13570780000000020000
40                  11682770000000020000
40                  10926750000000020000
40                  18795760000000020000
40                  14727780000000030000
40                  10989790000000060000
40                  10720730000000020000
40                  15192710000000050000
40                  15322740000000020000
40                  10689720000000020000
40                  15632790000000020000
40                  12810700000000020000
40                  19777760000000020000
40                  19777760000000150000
40                  10617790000000020000
40                  13515760000000020000
40                  10021790000000020000
40                  14589750000000020000
40                  14034760000000020000
40                  14888730000000020000
40                  12778700000000020000
40                  15315730000000020000
40                  17634730000000020000
40                  11470730000000020000
40                  10372740000000020000
40                  10252790000000038000
40                  17971740000000060000
40                  10241730000000040000
40                  12018700000000020000
40                  16102780000000020000
40                  10038700000000020000
40                  12245750000000020000
40                  13729780000000020000
40                  15123750000000040000
40                  15123750000000040000
40                  11293780000000005000
40                  18751780000000020000
40                  11239750000000060000
