00795799TROSGNISTAN MISSION              IS TD01N150107             
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  17307790000000020000
40                  14141760000000040000
40                  15675770000000040000
40                  13014720000000055000
40                  14246700000000045000
40                  14202720000000020000
40                  14210720000000020000
40                  17092780000000020000
40                  14871720000000020000
40                  14978740000000040000
40                  10931780000000060000
40                  10133740000000020000
40                  11585750000000100000
40                  16775740000000140000
40                  10723700000000020000
40                  14638760000000030000
40                  12477740000000040000
40                  12362720000000170000
40                  12361730000000190000
40                  18323770000000020000
40                  11051700000000040000
40                  11601750000000020000
40                  10433710000000020000
40                  18193740000000060000
40                  19704740000000020000
40                  10526790000000020000
40                  10526790000000020000
40                  15236790000000040000
40                  12996760000000020000
40                  11483780000000020000
40                  18768790000000020000
40                  14956700000000020000
40                  13982700000000020000
40                  11303760000000010000
40                  11154760000000040000
40                  17242770000000020000
40                  14961730000000010000
40                  14961730000000010000
40                  10219710000000020000
40                  10219710000000020000
40                  12257700000000020000
40                  19740700000000020000
40                  10005790000000300000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
