00795799TROSGNISTAN MISSION              IS TD01N150216           
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  17306700000000020000
40                  13845770000000020000
40                  18049700000000020000
40                  14136730000000010000
40                  15288760000000070000
40                  12099720000000020000
40                  12443750000000049000
40                  18462780000000020000
40                  11908750000000020000
40                  18205700000000020000
40                  18205700000000020000
40                  10765790000000020000
40                  10700770000000020000
40                  10555730000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
