00795799TROSGNISTAN MISSION              IS TD01N150220           
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12232700000000060000
40                  10795730000000020000
40                  13046740000000020000
40                  18837760000000020000
40                  15246770000000070000
40                  10090750000000080000
40                  14477700000000010000
40                  15017740000000020000
40                  12501740000000020000
40                  17328740000000050000
40                  12463700000000160000
40                  10691780000000020000
40                  10142730000000005000
40                  10643770000000060000
40                  14750780000000020000
40                  10633790000000030000
40                  12192780000000020000
40                  17239720000000020000
40                  10803730000000020000
40                  10498730000000010000
40                  16141710000000005000
40                  10310790000000020000
40                  11153770000000180000
40                  11508790000000020000
40                  10526790000000020000
40                  10526790000000020000
40                  10876750000000025000
40                  10297760000000120000
40                  13252730000000040000
40                  12102770000000015000
40                  11720710000000020000
40                  15266720000000005000
40                  12466770000000005000
40                  10057760000000020000
40                  12871760000000030000
40                  14213790000000015000
40                  11893720000000010000
40                  10497740000000020000
40                  13904750000000020000
40                  10903720000000030000
40                  10365730000000050000
40                  13525740000000020000
40                  10870710000000010000
40                  18658720000000030000
40                  15271750000000010000
40                  13625730000000040000
40                  15205760000000030000
40                  12859720000000040000
40                  11376780000000050000
40                  14897720000000032500
40                  15279770000000020000
40                  11745720000000050000
40                  13148710000000042500
40                  18461790000000020000
40                  16072740000000020000
40                  18366750000000010000
40                  13721760000000050000
40                  11442780000000020000
40                  11261760000000020000
40                  11261760000000020000
40                  10096790000000040000
40                  18197700000000040000
40                  12289720000000020000
40                  14090770000000100000
40                  13512790000000020000
40                  10039790000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
