00795799TROSGNISTAN MISSION              IS TD01N150413         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12839770000000230000
40                  11940750000000080000
40                  10860730000000020000
40                  13115700000000010000
40                  12477740000000040000
40                  12773750000000020000
40                  18323770000000020000
40                  11425790000000150000
40                  11587730000000020000
40                  15716780000000020000
40                  12681760000000040000
40                  12523780000000020000
40                  14004720000000020000
40                  13148710000000042500
40                  16777720000000060000
40                  13899720000000010000
40                  13899720000000010000
40                  14524730000000090000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
