00795799TROSGNISTAN MISSION              IS TD01N150422         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12232700000000060000
40                  15246770000000070000
40                  12008720000000020000
40                  12657760000000020000
40                  11668750000000060000
40                  12453720000000015000
40                  13112730000000020000
40                  18024790000000020000
40                  17134780000000010000
40                  15991740000000015000
40                  15536760000000020000
40                  10250710000000020000
40                  10292710000000050000
40                  13145740000000050000
40                  10279780000000030000
40                  14236720000000020000
40                  16767740000000005000
40                  15224730000000020000
40                  13490750000000020000
40                  13897740000000015000
40                  10462750000000002500
40                  10462750000000002500
40                  10462750000000002500
40                  12907740000000012500
40                  11496730000000020000
40                  16460740000000025000
40                  12502730000000120000
40                  18657730000000020000
40                  10876750000000025000
40                  11894710000000040000
40                  16318780000000040000
40                  17279730000000020000
40                  14345700000000005000
40                  19704740000000020000
40                  17590750000000020000
40                  11902710000000040000
40                  12254730000000040000
40                  14044740000000020000
40                  13920750000000005000
40                  14267740000000020000
40                  11493760000000020000
40                  15343790000000020000
40                  11376780000000050000
40                  14402700000000015000
40                  11403750000000020000
40                  12122730000000010000
40                  11238760000000020000
40                  11745720000000050000
40                  17804770000000020000
40                  17688780000000020000
40                  13084770000000020000
40                  17795780000000020000
40                  11150700000000050000
40                  10703740000000025000
40                  11624780000000075000
40                  10075740000000020000
40                  14714730000000068000
40                  18419720000000020000
40                  11340710000000020000
40                  10581710000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
