00795799TROSGNISTAN MISSION              IS TD01N150511        
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  15675770000000080000
40                  10781790000000070000
40                  15449720000000060000
40                  11001710000000040000
40                  12476750000000020000
40                  12541760000000020000
40                  10926750000000020000
40                  10250710000000020000
40                  16775740000000210000
40                  18462780000000020000
40                  15401780000000020000
40                  15401780000000020000
40                  17132700000000020000
40                  13617730000000050000
40                  14245710000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
