00795799TROSGNISTAN MISSION              IS TD01N150521       
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12008720000000020000
40                  16766750000000020000
40                  16090720000000015000
40                  16848770000000020000
40                  10481720000000070000
40                  12513700000000200000
40                  13792700000000030000
40                  11090730000000020000
40                  12443750000000049000
40                  12444740000000080000
40                  10732790000000020000
40                  18613760000000030000
40                  13711780000000020000
40                  19642790000000020000
40                  10297760000000120000
40                  12615770000000022500
40                  10870710000000010000
40                  11376780000000050000
40                  11401770000000040000
40                  10292710000000050000
40                  18505770000000020000
40                  11143700000000020000
40                  10364740000000050000
40                  13946750000000020000
40                  10884750000000040000
40                  11735740000000040000
40                  12502730000000120000
40                  15343790000000020000
40                  10180760000000020000
40                  12254730000000040000
40                  10624700000000020000
40                  11298730000000030000
40                  11790760000000015000
40                  10310790000000020000
40                  11403750000000020000
40                  10746730000000010000
40                  10876750000000025000
40                  12588700000000020000
40                  10623710000000020000
40                  18055710000000020000
40                  13258770000000005000
40                  11795710000000020000
40                  13562780000000020000
40                  10737740000000020000
40                  10254770000000020000
40                  11624780000000075000
40                  12289720000000020000
40                  19694760000000040000
40                  15482700000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
