00795799TROSGNISTAN MISSION              IS TD01N150702      
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  10479760000000050000
40                  17218770000000020000
40                  18191760000000030000
40                  17191780000000080000
40                  18145730000000020000
40                  11010700000000020000
40                  19794750000000020000
40                  11634760000000060000
40                  11156740000000040000
40                  11115740000000020000
40                  12136770000000040000
40                  12593730000000010000
40                  12461720000000020000
40                  12706770000000020000
40                  14592700000000020000
40                  19536780000000025000
40                  11210780000000015000
40                  11715780000000020000
40                  17705770000000035000
40                  18895750000000020000
40                  14875780000000020000
40                  13501720000000005000
40                  18695770000000040000
40                  18323770000000020000
40                  13833710000000020000
40                  10843750000000035000
40                  16968710000000040000
40                  11395750000000020000
40                  10984740000000020000
40                  16775740000000070000
40                  17741730000000010000
40                  12451740000000020000
40                  14697740000000010000
40                  14652770000000030000
40                  17742720000000010000
40                  14564740000000050000
40                  17118780000000020000
40                  16272720000000105000
40                  12999730000000020000
40                  13550720000000037500
40                  15334700000000020000
40                  19642790000000020000
40                  11009730000000020000
40                  14583710000000020000
40                  10530730000000020000
40                  12369750000000010000
40                  17304720000000007500
40                  12050790000000020000
40                  13883700000000070000
40                  17058700000000020000
40                  13856730000000010000
40                  19133750000000005000
40                  13365770000000020000
40                  18491730000000020000
40                  18361700000000030000
40                  18750790000000020000
40                  18684700000000020000
40                  11505720000000020000
40                  13615750000000025000
40                  13615750000000025000
40                  13615750000000025000
40                  11261760000000020000
40                  18875790000000040000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
