00795799TROSGNISTAN MISSION              IS TD01N150806     
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  11115740000000020000
40                  14165770000000020000
40                  17631760000000040000
40                  12949740000000020000
40                  10909760000000020000
40                  19133750000000005000
40                  16823760000000020000
40                  10194700000000052500
40                  14177730000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
