00795799TROSGNISTAN MISSION              IS TD01N150811  
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  11191710000000040000
40                  11744730000000040000
40                  13731740000000020000
40                  13909700000000035000
40                  12773750000000020000
40                  10555730000000020000
40                  11993710000000020000
40                  12671780000000045000
40                  15031760000000050000
40                  15365720000000020000
40                  12254730000000020000
40                  10600780000000040000
40                  13373770000000030000
40                  17242770000000020000
40                  12893700000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
