00795799TROSGNISTAN MISSION              IS TD01N150821  
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  14598740000000020000
40                  13046740000000020000
40                  11340710000000020000
40                  12670790000000020000
40                  16766750000000020000
40                  14729760000000020000
40                  10485780000000040000
40                  17795780000000020000
40                  13577710000000040000
40                  14477700000000010000
40                  12131720000000020000
40                  17285750000000120000
40                  18706740000000020000
40                  12136770000000040000
40                  17134780000000010000
40                  13909700000000035000
40                  13157790000000020000
40                  17149710000000020000
40                  11925740000000020000
40                  10643770000000060000
40                  10633790000000030000
40                  17600730000000060000
40                  11376780000000050000
40                  10498730000000010000
40                  12824740000000020000
40                  10240740000000010000
40                  12713780000000020000
40                  13289700000000020000
40                  14532730000000045000
40                  17590750000000020000
40                  19704740000000020000
40                  19704740000000020000
40                  10526790000000020000
40                  11403750000000020000
40                  11663700000000020000
40                  14267740000000020000
40                  13711780000000020000
40                  14428700000000025000
40                  15266720000000005000
40                  11720710000000020000
40                  10991750000000055000
40                  11978700000000020000
40                  13897740000000015000
40                  12087760000000020000
40                  17015720000000020000
40                  11936710000000020000
40                  10544770000000020000
40                  15324720000000020000
40                  10903720000000020000
40                  13904750000000020000
40                  10851740000000005000
40                  13328730000000020000
40                  17328740000000050000
40                  10871700000000030000
40                  10648720000000020000
40                  10648720000000020000
40                  10648720000000020000
40                  13980720000000020000
40                  16848770000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
